__typename_Rating,adminReviewedAt_Rating,attendanceMandatory_Rating,clarityRating_Rating,class_Rating,comment_Rating,createdByUser_Rating,date_Rating,difficultyRating_Rating,flagStatus_Rating,grade_Rating,helpfulRating_Rating,id_Rating,isForCredit_Rating,isForOnlineClass_Rating,legacyId_Rating,ratingTags_Rating,teacherNote_Rating,textbookUse_Rating,thumbs_Rating,thumbsDownTotal_Rating,thumbsUpTotal_Rating,wouldTakeAgain_Rating,ProfessorName,Department,SchoolName,LegacyId,NumRatings
Rating,2013-08-26 14:07:34 +0000 UTC,,5.0,EC201,"After all these years, now I can say he is the best prof in my life I wish I had a chance to get other classes from him again. You value his teaching more after you have time to digest all you learn in his class.",False,2013-08-26 14:00:18 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTIyMDg0ODQz,False,False,22084843.0,,,5.0,[],0.0,0.0,,Rasim Ozcan,Economics,Boston College,14783,7
Rating,2012-08-16 16:54:57 +0000 UTC,,5.0,ECON1535,He is awesome. One of the best ever if not the best.,False,2012-08-16 16:46:28 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTIwNTgwOTI4,False,False,20580928.0,,,4.0,[],0.0,0.0,,Rasim Ozcan,Economics,Boston College,14783,7
Rating,2011-02-14 00:31:25 +0000 UTC,,5.0,EC132,awesome prof,False,2011-02-14 00:18:24 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTE4MjMyNTcx,False,False,18232571.0,,,4.0,[],0.0,0.0,,Rasim Ozcan,Economics,Boston College,14783,7
Rating,2010-10-24 19:49:59 +0000 UTC,,5.0,ECON201,i didnt know econ could be this much fun!,False,2010-07-31 21:40:24 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTE3NDY4NDcy,False,False,17468472.0,,,4.0,[],0.0,0.0,,Rasim Ozcan,Economics,Boston College,14783,7
Rating,2009-09-11 09:32:40 +0000 UTC,,5.0,ECON201,"He is awesome, understood it while taking other classes and after start working. Extremely helpful and good looking prof.",False,2009-07-24 11:56:31 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTE2MDYyODcy,False,False,16062872.0,,,4.0,[],0.0,0.0,,Rasim Ozcan,Economics,Boston College,14783,7
Rating,2008-06-09 05:51:07 +0000 UTC,,5.0,ECON201,very useful course from an awesome professor,False,2008-04-25 19:12:05 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTE0MzUwMDg0,False,False,14350084.0,,,4.0,[],0.0,0.0,,Rasim Ozcan,Economics,Boston College,14783,7
Rating,,,4.0,EC131,"he has an accent but you get used to it, other than that he is terrific",False,2004-07-26 09:43:37 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTIzNDE5NzA=,False,False,2341970.0,,,,[],0.0,0.0,,Rasim Ozcan,Economics,Boston College,14783,7
Rating,2013-09-24 18:47:30 +0000 UTC,,5.0,ECON100,Best professor ever,False,2013-09-24 18:45:28 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTIyMTM4MTEw,False,False,22138110.0,,,3.0,[],0.0,0.0,,Harold Petersen,Economics,Boston College,41486,3
Rating,,,2.0,ECON,....,False,2005-06-01 01:29:40 +0000 UTC,2.0,UNFLAGGED,,1.0,UmF0aW5nLTM5NDcyMDQ=,False,False,3947204.0,,,,[],0.0,0.0,,Harold Petersen,Economics,Boston College,41486,3
Rating,,,3.0,EC100,Very easy...don't take anyone else for Principles of Economics,False,2003-12-07 15:22:17 +0000 UTC,2.0,UNFLAGGED,,4.0,UmF0aW5nLTE0NTM4MDg=,False,False,1453808.0,,,,[],0.0,0.0,,Harold Petersen,Economics,Boston College,41486,3
