__typename_Rating,adminReviewedAt_Rating,attendanceMandatory_Rating,clarityRating_Rating,class_Rating,comment_Rating,createdByUser_Rating,date_Rating,difficultyRating_Rating,flagStatus_Rating,grade_Rating,helpfulRating_Rating,id_Rating,isForCredit_Rating,isForOnlineClass_Rating,legacyId_Rating,ratingTags_Rating,teacherNote_Rating,textbookUse_Rating,thumbs_Rating,thumbsDownTotal_Rating,thumbsUpTotal_Rating,wouldTakeAgain_Rating,ProfessorName,Department,SchoolName,LegacyId,NumRatings
Rating,2014-10-12 19:53:44 +0000 UTC,,5.0,PH1C,Genius. Enthusiastic. Really cares that we learn how to learn and get excited about science. More like this please.,False,2014-10-12 19:51:32 +0000 UTC,3.0,UNFLAGGED,,3.0,UmF0aW5nLTIzNjQ4OTk0,True,False,23648994.0,,,2.0,[],0.0,0.0,,David Politzer,Science,California Institute of Technology,60323,6
Rating,,,4.0,PHYS1,"this guy actually sat down with me and went over building a circuit from start to finish, practically soldering the wires for me, which is waaaaayyy more help than i ever got from any other professors",False,2005-12-08 02:15:58 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTExMDg2MzM3,False,False,11086337.0,,,,"[{'computerId': '7610E82DC63E5465E4DECE93C5AB4C12', 'id': 'VGh1bWItOTI4NDU=', 'thumbsDown': 0, 'thumbsUp': 2}]",0.0,2.0,,David Politzer,Science,California Institute of Technology,60323,6
Rating,,,2.0,PH1BC,"Seemed sort of scary to me. Lectures really had nothing to do with clearing up topics from reading or the course. If you weren't a good student it seemed like he didn't want to teach you, that you were a waste of his time.",False,2005-06-01 22:21:35 +0000 UTC,5.0,UNFLAGGED,,3.0,UmF0aW5nLTM5NTEzNzQ=,False,False,3951374.0,,,,"[{'computerId': '7610E82DC63E5465E4DECE93C5AB4C12', 'id': 'VGh1bWItMjM4NDM3NA==', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,,David Politzer,Science,California Institute of Technology,60323,6
Rating,,,5.0,PH1BC,No Comments,False,2005-02-13 22:58:06 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTMzNTM2NDg=,False,False,3353648.0,,,,"[{'computerId': '2D777623F4F23069E44333A863E4038F', 'id': 'VGh1bWItOTI4NDY=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,David Politzer,Science,California Institute of Technology,60323,6
Rating,,,3.0,PH1BC,He made fun of me. &gt;:o,False,2004-06-04 01:14:40 +0000 UTC,4.0,UNFLAGGED,,2.0,UmF0aW5nLTIyMTgzMTg=,False,False,2218318.0,,,,[],0.0,0.0,,David Politzer,Science,California Institute of Technology,60323,6
Rating,,,5.0,PH2AB,Amazing philosophy toward teaching. Concerned with student maturation & learning,False,2002-08-20 15:23:20 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTI0ODExOA==,False,False,248118.0,,,,"[{'computerId': '2D777623F4F23069E44333A863E4038F', 'id': 'VGh1bWItOTI4NDc=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,David Politzer,Science,California Institute of Technology,60323,6
Rating,2012-04-06 22:51:02 +0000 UTC,,5.0,BI150,amazing prof,False,2012-04-06 22:49:45 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTIwMDA5OTM5,False,False,20009939.0,,,5.0,[],0.0,0.0,,Henry Lester,Science,California Institute of Technology,90542,13
Rating,2011-11-08 19:44:54 +0000 UTC,,5.0,CNS150,Lester is an amazing and caring educator. He makes an effort to know the names of all of the students in his class. He constantly tries to improve the quality of his lectures. He goes over the material that is covered in the book- but goes above and beyond and tries to show students to current research in the area. Great educator!,False,2011-11-08 19:25:53 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTE5MTkwNDU1,False,False,19190455.0,,,4.0,[],0.0,0.0,,Henry Lester,Science,California Institute of Technology,90542,13
Rating,,,3.0,BI1,No Comments,False,2006-10-06 04:14:09 +0000 UTC,2.0,UNFLAGGED,,4.0,UmF0aW5nLTEyMjY5NjM2,False,False,12269636.0,,,2.0,"[{'computerId': '0402C7B3CC62EDDCD2CD443BF8EDB418', 'id': 'VGh1bWItNDYyMjAxMjA=', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,,Henry Lester,Science,California Institute of Technology,90542,13
Rating,,,5.0,BI1,"Extremely interested in the students, tries to make the material accessible and interesting.",False,2005-05-12 18:42:36 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTM4NDgxNDk=,False,False,3848149.0,,,,[],0.0,0.0,,Henry Lester,Science,California Institute of Technology,90542,13
Rating,,,1.0,BI1,You have to take the class anyway.  So who really cares&#63;,False,2004-03-16 20:59:30 +0000 UTC,3.0,UNFLAGGED,,1.0,UmF0aW5nLTE4MTM5OTM=,False,False,1813993.0,,,,"[{'computerId': '74F797263E9F1FB806B28C8E20896BE9', 'id': 'VGh1bWItOTA2NDc5Nw==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': 'DUX3PMOVm0-20230509', 'id': 'VGh1bWItNTEwNjk4MzI=', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': 'nhTxlCpRwD-20230810', 'id': 'VGh1bWItNTE4NDcwNzA=', 'thumbsDown': 1, 'thumbsUp': 0}]",2.0,0.0,,Henry Lester,Science,California Institute of Technology,90542,13
