__typename_Rating,adminReviewedAt_Rating,attendanceMandatory_Rating,clarityRating_Rating,class_Rating,comment_Rating,createdByUser_Rating,date_Rating,difficultyRating_Rating,flagStatus_Rating,grade_Rating,helpfulRating_Rating,id_Rating,isForCredit_Rating,isForOnlineClass_Rating,legacyId_Rating,ratingTags_Rating,teacherNote_Rating,textbookUse_Rating,thumbs_Rating,thumbsDownTotal_Rating,thumbsUpTotal_Rating,wouldTakeAgain_Rating,ProfessorName,Department,SchoolName,LegacyId,NumRatings
Rating,2011-05-31 15:59:14 +0000 UTC,,2.0,BUDD1,"The class is borderline boring and not terribly informative. The fact that the Professor obviously is too busy to be there half the time doesn't help either. The recommended/required reading list consists mostly out of books he wrote or translated. Skip this one, I?d say. Who cares who is daughter is&#63;",False,2011-05-31 15:57:29 +0000 UTC,3.0,UNFLAGGED,,1.0,UmF0aW5nLTE4NjgzODgx,False,False,18683881.0,,,3.0,[],0.0,0.0,,Robert Thurman,Theology,Columbia University,14071,8
Rating,,,5.0,INDOTIBETAN,"Excellent course. Go to the TA sessions to get the most out of this course. When I took the course, Prof. Thurman was available before class to answer questions, etc.",False,2006-04-07 12:37:15 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTExNjczODU3,False,False,11673857.0,,,,"[{'computerId': '1amw3c1cksmqf4rwgoznaq6qq', 'id': 'VGh1bWItNDI2OTg0NTA=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Robert Thurman,Theology,Columbia University,14071,8
Rating,,,5.0,INDOTIBET,"thurman is brilliant, informed, and he makes attractive children,..by the way robert..freeze it now so future generations my preserve thine beauty.",False,2005-10-05 14:21:14 +0000 UTC,1.0,UNFLAGGED,,5.0,UmF0aW5nLTEwNzQyODg5,False,False,10742889.0,,,,"[{'computerId': '31E0A633A397AA26A52B5E904D7A8361', 'id': 'VGh1bWItMTYyMDY2Mg==', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Robert Thurman,Theology,Columbia University,14071,8
Rating,,,5.0,INDOTIBETBUD,No Comments,False,2005-10-01 15:25:38 +0000 UTC,2.0,UNFLAGGED,,4.0,UmF0aW5nLTEwNzI4NzAy,False,False,10728702.0,,,,[],0.0,0.0,,Robert Thurman,Theology,Columbia University,14071,8
Rating,,,2.0,BUDDHISM,"expert on buddhist philosophy. however, rather sectarian, not really there for students. too busy to care. should retire.",False,2005-09-14 23:53:47 +0000 UTC,4.0,UNFLAGGED,,2.0,UmF0aW5nLTEwNTA0NTcx,False,False,10504571.0,,,,"[{'computerId': '14lnzdtcxxy2e2lajp74b3dlx', 'id': 'VGh1bWItNDA1Njk4NDk=', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,,Robert Thurman,Theology,Columbia University,14071,8
Rating,,,3.0,NONDUALITY,No Comments,False,2004-12-29 00:18:33 +0000 UTC,3.0,UNFLAGGED,,3.0,UmF0aW5nLTMxMjY2MDg=,False,False,3126608.0,,,,[],0.0,0.0,,Robert Thurman,Theology,Columbia University,14071,8
Rating,,,2.0,NONDUALITY,He doesn't listen. Arrogant as hell. Nice outside of class but too busy cavorting with the Dalai Lama to make office hours.,False,2004-04-08 19:54:29 +0000 UTC,2.0,UNFLAGGED,,2.0,UmF0aW5nLTE5MjU4ODQ=,False,False,1925884.0,,,,[],0.0,0.0,,Robert Thurman,Theology,Columbia University,14071,8
Rating,,,3.0,REL,Ducks questions about his weak arguments in his books that do no justice to the Tibetan people and their religion.,False,2003-02-26 21:45:24 +0000 UTC,3.0,UNFLAGGED,,3.0,UmF0aW5nLTY0MjE1MA==,False,False,642150.0,,,,[],0.0,0.0,,Robert Thurman,Theology,Columbia University,14071,8
Rating,2023-10-18 13:28:47 +0000 UTC,non mandatory,1.0,PSYC3450,He peed in my coffee. Don't wanna take again!,False,2023-10-18 13:28:27 +0000 UTC,5.0,UNFLAGGED,F,1.0,UmF0aW5nLTM4Mjg1MTU1,False,False,38285155.0,Tough grader--So many papers--Test heavy,,-1.0,[],0.0,0.0,,Herbert Terrace,Psychology,Columbia University,17676,12
Rating,2017-04-23 07:08:48 +0000 UTC,non mandatory,4.0,PSYCW1001,"Curious fellow. He'll call for commentary on a viewpoint only to flat-out tell the pupil they're irrevocably wrong, and himself right. (Never bothered me, everyone laughed) BUT... he'll explain his thought processes and the mass of data he's based his decision upon. In that moment, you'll realize you are oblivious to the world around you Epic class",False,2017-04-21 09:55:11 +0000 UTC,3.0,UNFLAGGED,A,4.0,UmF0aW5nLTI4MDk1ODY3,True,False,28095867.0,Inspirational--Hilarious--Amazing lectures,,5.0,"[{'computerId': 'ah9n6i218bbq1ol7qsaem7uzn', 'id': 'VGh1bWItMzk5OTI4NDE=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'b0d13255-5dcf-53df-b0ee-8721a054e127', 'id': 'VGh1bWItNDc2MDAzNDU=', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': 'b0d13255-5dcf-53df-b0ee-8721a054e127', 'id': 'VGh1bWItNDgyMTQ4NzM=', 'thumbsDown': 1, 'thumbsUp': 0}]",2.0,1.0,1.0,Herbert Terrace,Psychology,Columbia University,17676,12
Rating,2017-02-07 06:01:32 +0000 UTC,mandatory,1.0,UN3450,"Really found this instructor unbearably self-involved and patriarchially overbearing. Much of the material was poorly presented and instructor did not seem to be able to form a professional, engaging relationship with me or other students. He really should retire, IMO.",False,2017-02-07 04:24:34 +0000 UTC,3.0,UNFLAGGED,,1.0,UmF0aW5nLTI3ODA5ODI1,True,False,27809825.0,Get ready to read--Skip class? You won't pass.--Amazing lectures,,5.0,"[{'computerId': 'D7BC2576DC4A5A2629DAD2FD88E6460A', 'id': 'VGh1bWItNTgyNTEwOQ==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '4FC36A6E0CAE219F3B7CA2108C8BC983', 'id': 'VGh1bWItNzg1MTIxMg==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'AE51B1F4E209CF4A78C530DF9E970AE5', 'id': 'VGh1bWItODY4NjU4NA==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '57B742C8DECE9B56B4E33429C81351EC', 'id': 'VGh1bWItOTQ3NjY5NQ==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1txdvhbkx84clv7myp7v9duf8', 'id': 'VGh1bWItMzkyODcyOTk=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '1f9zv7cg56b6v142cc88toseed', 'id': 'VGh1bWItNDExNDUwMjU=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '1r6llz04fsqqzrfzpldw5i4l7', 'id': 'VGh1bWItNDExNDcxNTQ=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'DAB0487DB05AE39EAD8F1C868ED44210', 'id': 'VGh1bWItNDY5NDIwNDU=', 'thumbsDown': 0, 'thumbsUp': 1}]",2.0,6.0,0.0,Herbert Terrace,Psychology,Columbia University,17676,12
