__typename_Rating,adminReviewedAt_Rating,attendanceMandatory_Rating,clarityRating_Rating,class_Rating,comment_Rating,createdByUser_Rating,date_Rating,difficultyRating_Rating,flagStatus_Rating,grade_Rating,helpfulRating_Rating,id_Rating,isForCredit_Rating,isForOnlineClass_Rating,legacyId_Rating,ratingTags_Rating,teacherNote_Rating,textbookUse_Rating,thumbs_Rating,thumbsDownTotal_Rating,thumbsUpTotal_Rating,wouldTakeAgain_Rating,ProfessorName,Department,SchoolName,LegacyId,NumRatings
Rating,2018-02-07 21:11:40 +0000 UTC,mandatory,5.0,ENG123,Professor Davies is great!,False,2018-02-07 16:10:25 +0000 UTC,3.0,UNFLAGGED,B+,5.0,UmF0aW5nLTI5NTQ1MjAz,True,False,29545203.0,Respected--Get ready to read--Hilarious,,5.0,[],0.0,0.0,1.0,Laurence Davies,English,Dartmouth College,24784,6
Rating,2008-06-01 01:02:16 +0000 UTC,,5.0,COCO33,"This man is a minor deity among profs.  Never before had I been so enthralled, so engaged or so challenged.  Every class I've taken with him has been interesting.  Also, he's funny as heck, his off-the-cuff quips are great and he seems to know everything about everything.  Each time a student brought up an obscure subject, he'd have a book on it!",False,2008-04-13 03:58:15 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTE0MjgzNDgx,False,False,14283481.0,,,5.0,[],0.0,0.0,,Laurence Davies,English,Dartmouth College,24784,6
Rating,,,3.0,IRISHFICTION,"Does tend to ramble at times, but it can be quite interesting.  His biggest weakness is that he allows students too much time to talk during class, and they end up saying foolish things.  Overall, I strongly recommend him.",False,2006-02-21 23:21:37 +0000 UTC,2.0,UNFLAGGED,,4.0,UmF0aW5nLTExNTA1Nzc1,False,False,11505775.0,,,,[],0.0,0.0,,Laurence Davies,English,Dartmouth College,24784,6
Rating,,,2.0,IRISHLIT,this guy rambles. absolute warning.,False,2005-12-24 23:15:56 +0000 UTC,1.0,UNFLAGGED,,4.0,UmF0aW5nLTExMjU2NTE0,False,False,11256514.0,,,,[],0.0,0.0,,Laurence Davies,English,Dartmouth College,24784,6
Rating,,,5.0,ENGLISH66,"Great guy who knows his material- I enjoyed his lectures a lot. The class I had him for was painfully quiet, either because people refused to speak or Davies didn't ask the right questions. Watch out, he actually grades FAIRLY! bah!",False,2004-06-22 13:46:16 +0000 UTC,4.0,REVIEWED,,5.0,UmF0aW5nLTIyNjQ4MzI=,False,False,2264832.0,,,,[],0.0,0.0,,Laurence Davies,English,Dartmouth College,24784,6
Rating,,,5.0,COLT65,Very knowledgeable and enthusiastic.,False,2003-02-26 17:32:02 +0000 UTC,4.0,UNFLAGGED,,4.0,UmF0aW5nLTY0MDMwNA==,False,False,640304.0,,,,[],0.0,0.0,,Laurence Davies,English,Dartmouth College,24784,6
Rating,2014-02-11 09:57:23 +0000 UTC,Y,5.0,PSYC007,The most helpful teacher/professor I have  ever had for writing.  I have grown so much as a writer through his freshman seminar.  I highly recommend going in to talk with him often as his comments into writing are both insightful and informative.,False,2014-02-11 09:55:12 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTIyODMzNTI1,False,False,22833525.0,,,5.0,[],0.0,0.0,,John Pfister,Psychology,Dartmouth College,24789,3
Rating,2012-02-29 22:15:28 +0000 UTC,,5.0,PSYCH10,"He really cares about his students and you can tell he is passionate about the subject. I thought his jokes were funny and he tries very hard. Office hours were always helpful and he explains things very well and never makes you feel like you asked a stupid question. Good class, fantastic professor, decent amount of reading, average tests.",False,2012-02-29 22:04:51 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTE5ODY3MzU2,False,False,19867356.0,,,5.0,[],0.0,0.0,,John Pfister,Psychology,Dartmouth College,24789,3
Rating,2008-08-19 10:21:20 +0000 UTC,,5.0,PSYC10,"I really didn't want to take stats, but this guy made it fun.  He may be the best professor I've ever had.  Really cares about his students and his subject.",False,2008-08-18 19:19:40 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTE0NzUyODEw,False,False,14752810.0,,,3.0,"[{'computerId': '921720825AED0ED7C141F9C79059368A', 'id': 'VGh1bWItODg4MjE1Ng==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '09F6D2F18AC1002825DF93EFC0E4889E', 'id': 'VGh1bWItODk0NjY2Mw==', 'thumbsDown': 0, 'thumbsUp': 1}]",1.0,1.0,,John Pfister,Psychology,Dartmouth College,24789,3
Rating,2017-10-19 11:05:00 +0000 UTC,non mandatory,5.0,ANTH1,"Good prof, knowledgeable, helpful.",False,2017-10-19 10:59:40 +0000 UTC,3.0,UNFLAGGED,A,5.0,UmF0aW5nLTI4NzYwMTc3,True,False,28760177.0,Gives good feedback--Respected--Clear grading criteria,,0.0,[],0.0,0.0,1.0,John Watanabe,Anthropology,Dartmouth College,24790,2
