__typename_Rating,adminReviewedAt_Rating,attendanceMandatory_Rating,clarityRating_Rating,class_Rating,comment_Rating,createdByUser_Rating,date_Rating,difficultyRating_Rating,flagStatus_Rating,grade_Rating,helpfulRating_Rating,id_Rating,isForCredit_Rating,isForOnlineClass_Rating,legacyId_Rating,ratingTags_Rating,teacherNote_Rating,textbookUse_Rating,thumbs_Rating,thumbsDownTotal_Rating,thumbsUpTotal_Rating,wouldTakeAgain_Rating,ProfessorName,Department,SchoolName,LegacyId,NumRatings
Rating,2023-11-28 16:55:45 +0000 UTC,,5.0,MBB152,I love this professor!!!!!!!!!!!!,False,2023-11-28 16:55:37 +0000 UTC,3.0,UNFLAGGED,B+,5.0,UmF0aW5nLTM4NDUxMzI3,True,False,38451327.0,,,,[],0.0,0.0,1.0,Marc Hauser,Psychology,Harvard University,64019,29
Rating,2023-12-19 16:38:15 +0000 UTC,mandatory,1.0,SCIB29,He was very accessible~ He's my favorite~,False,2023-08-09 21:04:14 +0000 UTC,5.0,REVIEWED,D+,1.0,UmF0aW5nLTM4MTU1NTQy,False,True,38155542.0,Accessible outside class,,3.0,"[{'computerId': 'KBTAtSJzTT-20230809', 'id': 'VGh1bWItNTE4NDE3OTY=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,2022-06-13 00:39:21 +0000 UTC,mandatory,5.0,BS29,Most rad prof!,False,2022-03-18 18:25:24 +0000 UTC,3.0,UNFLAGGED,A-,5.0,UmF0aW5nLTM1OTQ5NTIz,True,True,35949523.0,Amazing lectures --Inspirational--Hilarious,,3.0,[],0.0,0.0,1.0,Marc Hauser,Psychology,Harvard University,64019,29
Rating,2014-09-17 21:55:44 +0000 UTC,,5.0,PSY101,good,False,2014-09-17 21:54:07 +0000 UTC,1.0,UNFLAGGED,,5.0,UmF0aW5nLTIzNTk5NDA4,True,False,23599408.0,,,5.0,"[{'computerId': '154092894541BC62BFAEC508F02333D4', 'id': 'VGh1bWItMTY5MDgwOA==', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,2010-09-18 18:36:02 +0000 UTC,,5.0,SCIB29,"one of the best classes I have taken at Harvard. Fascinating material, engaging lectures.",False,2010-07-19 16:17:46 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTE3NDMyMTQy,False,False,17432142.0,,,3.0,"[{'computerId': '154092894541BC62BFAEC508F02333D4', 'id': 'VGh1bWItMTY5MDgwOQ==', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,2010-06-07 05:58:06 +0000 UTC,,5.0,SCB29,Hauser is amazingly passionate about the material. it is infectious.,False,2010-03-29 23:25:28 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTE2OTI2NTQx,False,False,16926541.0,,,2.0,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,2008-06-09 07:59:45 +0000 UTC,,5.0,MBB152,"This was, hands down, the best class I have taken at Harvard.  Hauser inspired us all with passion, for tackling the apathy toward science, and for empowering us with our own ideas. His teaching is infectious, and so too is his warmth and interest in the students. If only more professors at Harvard could be so cool and interesting",False,2008-03-30 20:56:45 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTE0MjE4NTc5,False,False,14218579.0,,,1.0,"[{'computerId': '1B6B5169225C20BCFDE77A6CF1E4B25E', 'id': 'VGh1bWItMzE1MTMx', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1hlyz2bjy8diido2o6ge7ddac', 'id': 'VGh1bWItMzE2OTUxNTA=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '5DB8FAABC91DBC9C8DA2C73E202C1FC9', 'id': 'VGh1bWItNDczNzEwNDE=', 'thumbsDown': 0, 'thumbsUp': 1}]",1.0,2.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,2008-06-08 17:07:46 +0000 UTC,,5.0,PSY1151,Glad I transfered from BU to join this professor in his engaing lectures!  Great class and got an A,False,2007-12-13 10:53:35 +0000 UTC,1.0,UNFLAGGED,,5.0,UmF0aW5nLTEzODIwNDQ1,False,False,13820445.0,,,5.0,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,2008-06-07 21:08:56 +0000 UTC,,5.0,PSY1151,"it is so rare to have a professor at harvard who engages with undergrads, and spends time with them, both working on research and concerned with education. hauser is a pleasure to be with.",False,2007-09-24 23:22:51 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTEzNDkwMjA4,False,False,13490208.0,,,1.0,"[{'computerId': 'D2837238E17C68DAA2EC2C8BE2CF6E80', 'id': 'VGh1bWItMjQyNzE3Mg==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '5DB8FAABC91DBC9C8DA2C73E202C1FC9', 'id': 'VGh1bWItNDczNzEwNDQ=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,2.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,SCIB29,"hauser's lectures were some of the most fun, engaging and interesting at harvard. the course is incredible. chock full of ideas.",False,2007-05-03 00:10:40 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTEzMTAwNTIx,False,False,13100521.0,,,2.0,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,SCIENCEB29,"HE IS AMAZING.  Awesome lectures, incredible ideas... I hope I can have him again.",False,2006-03-28 19:29:24 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTExNjI1MDYy,False,False,11625062.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,B29,very cool. brilliant mind,False,2006-03-19 05:02:55 +0000 UTC,4.0,UNFLAGGED,,5.0,UmF0aW5nLTExNTg3NzA3,False,False,11587707.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,SCIB29,"i don't get the conceited comment below. Hauser is one of the few profs at harvard who is completely open to hanging out with students, is very approachable, and does freshman advising.  not many like him at harvard.",False,2006-03-17 15:21:07 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTExNTgzOTY5,False,False,11583969.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,1.0,SCIB29,"I second the HUGE ego, very limited expertise, lack of concern for rigorous empirical methods, leaves out all data not supporting his (unfailingly alpha male) perspective. Get ready to hear some very dull and very questionable theories and that bring to mind eugenics and other behavioral science debacles.",False,2006-02-22 19:07:49 +0000 UTC,2.0,UNFLAGGED,,1.0,UmF0aW5nLTExNTA4OTMx,False,False,11508931.0,,,,"[{'computerId': '74430957F7205FAE10FAE8E2EDC5BC3D', 'id': 'VGh1bWItMjYzODgxMw==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '83a2hekttsy966ljj04d3da6', 'id': 'VGh1bWItNDEyMDc4NzM=', 'thumbsDown': 1, 'thumbsUp': 0}]",2.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,SCIB29,"his lectures were pretty interesting, though because of the nature of the course, very broad.  he is considered to be pretty conceited, and i hate to say it shows.",False,2006-02-02 18:31:26 +0000 UTC,4.0,UNFLAGGED,,2.0,UmF0aW5nLTExNDQ4Mzk4,False,False,11448398.0,,,,"[{'computerId': '', 'id': 'VGh1bWItNTA3NTM5Njk=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,2.0,PSYCH,very boring. is there a point&#63; or does he just like to hear his voice bounce off the walls&#63; bring a pillow and get comfy. read all of his book and regurgitate it back and you'll excel,False,2005-11-26 22:23:35 +0000 UTC,1.0,REVIEWED,,1.0,UmF0aW5nLTEwOTg4Nzcw,False,False,10988770.0,,,,"[{'computerId': '', 'id': 'VGh1bWItNTA3NTM5NzA=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,SCIENCEB29,Teaches with passion. Brilliant,False,2005-09-29 21:07:29 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTEwNDYyNzQ2,False,False,10462746.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,Y,4.0,SCIB29,"Very clear lecturer, but ENORMOUS ego. He walks around like he owns the place.",False,2005-02-19 21:38:10 +0000 UTC,4.0,UNFLAGGED,A,3.0,UmF0aW5nLTMzNzUxODA=,False,False,3375180.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,1.0,BS29,small man. big ego. he's not even a psychologist.,False,2005-01-18 20:37:17 +0000 UTC,1.0,UNFLAGGED,,1.0,UmF0aW5nLTMyNDE5MzE=,False,False,3241931.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,SCIB29,"Very clear, good slides, funny stories. HOWEVER- He is on a crusade to lower the GPA of Harvard students- beware!Exams very difficult and tricky, section exams and readings are too many and too difficult for a core class.You'll end up knowing a lot though",False,2004-10-16 22:51:16 +0000 UTC,5.0,UNFLAGGED,,3.0,UmF0aW5nLTI1NTU5NjM=,False,False,2555963.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,PSY1152R,"this is the coolest lab. great people, really neat work, and lots of fun hanging out with hauser.",False,2004-10-13 05:32:25 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTI1NDI2NzE=,False,False,2542671.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,SCIB29,really cool prof.  incredible understanding of material. loves teaching.,False,2004-10-12 08:07:27 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTI1MzkyNDM=,False,False,2539243.0,,,,"[{'computerId': '397F6D2025FF15028E30E14BB7831146', 'id': 'VGh1bWItNDY0NTE5NTE=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,N,4.0,SCIB29,"A fun course, changed the way I look at things.  Hauser is on the anti-grade inflation committee, and exams are very difficult.  Cotton-top tamarins with spray-painted hair rule.",False,2004-08-23 15:19:48 +0000 UTC,4.0,UNFLAGGED,A,3.0,UmF0aW5nLTI0MTA2NDg=,False,False,2410648.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,4.0,SCB29,"Great lecturer, great slides, stories, very accomplished, but exams are a bit confusing",False,2004-05-07 15:30:37 +0000 UTC,2.0,UNFLAGGED,,3.0,UmF0aW5nLTIxMDcxODY=,False,False,2107186.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
Rating,,,5.0,SCIB29,excellent lecturer,False,2004-04-16 00:22:33 +0000 UTC,3.0,UNFLAGGED,,4.0,UmF0aW5nLTE5NzE0NDY=,False,False,1971446.0,,,,[],0.0,0.0,,Marc Hauser,Psychology,Harvard University,64019,29
