__typename_Rating,adminReviewedAt_Rating,attendanceMandatory_Rating,clarityRating_Rating,class_Rating,comment_Rating,createdByUser_Rating,date_Rating,difficultyRating_Rating,flagStatus_Rating,grade_Rating,helpfulRating_Rating,id_Rating,isForCredit_Rating,isForOnlineClass_Rating,legacyId_Rating,ratingTags_Rating,teacherNote_Rating,textbookUse_Rating,thumbs_Rating,thumbsDownTotal_Rating,thumbsUpTotal_Rating,wouldTakeAgain_Rating,ProfessorName,Department,SchoolName,LegacyId,NumRatings
Rating,2023-12-14 06:18:46 +0000 UTC,mandatory,5.0,HIST165A,Just ok,False,2023-12-14 06:18:28 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTM4NjY2NzY3,False,True,38666767.0,Tough grader,,3.0,[],0.0,0.0,,Jack Rakove,History,Stanford University,28392,15
Rating,2017-01-16 14:56:43 +0000 UTC,mandatory,1.0,HIST165A,Impossible to understand during lecture,False,2017-01-09 08:21:41 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTI3Njk4MTkw,True,False,27698190.0,,,5.0,[],0.0,0.0,0.0,Jack Rakove,History,Stanford University,28392,15
Rating,2017-01-16 14:56:43 +0000 UTC,mandatory,1.0,HIST165A,"By far the meanest professor, I have ever had at this university. He was also unhelpful during office hours.",False,2017-01-09 08:20:14 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTI3Njk4MTg2,True,False,27698186.0,,,5.0,[],0.0,0.0,0.0,Jack Rakove,History,Stanford University,28392,15
Rating,2016-11-26 00:54:12 +0000 UTC,non mandatory,5.0,HIST165A,Best professor I ever had,False,2016-11-26 00:29:12 +0000 UTC,1.0,UNFLAGGED,A+,5.0,UmF0aW5nLTI3MjU0OTM0,True,False,27254934.0,,,5.0,"[{'computerId': '575AF543281068DEAF3161B10AAE07F5', 'id': 'VGh1bWItNDg0NDgxNQ==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'A8EDAF4053787EB7E4408447354A6659', 'id': 'VGh1bWItNTc2MTk2OA==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1hq3p70t87sze1hi0vcnqeyyf1', 'id': 'VGh1bWItNDE2NTI0Mzc=', 'thumbsDown': 1, 'thumbsUp': 0}]",2.0,1.0,1.0,Jack Rakove,History,Stanford University,28392,15
Rating,2016-09-23 14:59:54 +0000 UTC,mandatory,1.0,HIST57,"Could care less about his students, and mean during office hours",False,2016-09-23 14:13:02 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTI2OTkwNjA4,True,False,26990608.0,,,5.0,"[{'computerId': '77306C59F8DD760EB8650B663653961B', 'id': 'VGh1bWItMzQ3MTY1MA==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'B97A3170F830BFDA5CE9193868B46E06', 'id': 'VGh1bWItMzUzNjQ1MQ==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1CE1ADBBE60C91C47CB74508230577A2', 'id': 'VGh1bWItNDIxNTEyOQ==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '575AF543281068DEAF3161B10AAE07F5', 'id': 'VGh1bWItNDg0NDgxMQ==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': 'F96AD114F88A272FABA0A84536058A02', 'id': 'VGh1bWItNDkwODQ3MA==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1hq3p70t87sze1hi0vcnqeyyf1', 'id': 'VGh1bWItNDE2NTI0Mzk=', 'thumbsDown': 0, 'thumbsUp': 1}]",4.0,2.0,0.0,Jack Rakove,History,Stanford University,28392,15
Rating,2016-07-02 00:35:21 +0000 UTC,mandatory,1.0,HIST57,"This man is incoherent, mean-spirited, and does not care if his students learn anything. Any student thinking about taking his courses needs to consider other options",False,2016-07-02 00:11:40 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTI2Nzc1NzM1,True,False,26775735.0,,,0.0,"[{'computerId': 'BC2A735CB1FA6C61F439C3E4D2D9E580', 'id': 'VGh1bWItMjg3OTEzNw==', 'thumbsDown': 0, 'thumbsUp': 7}, {'computerId': 'CA1C43EF5F18D4C7C3735A13B01F5176', 'id': 'VGh1bWItMzAwMjcyNg==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'DA6429BEEE9F854C8BC99BEDE44A6AF8', 'id': 'VGh1bWItMzExMTYwMA==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '07491DFC1845D56A2A0195E59E69A85B', 'id': 'VGh1bWItMzM2NDU3MQ==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '07491DFC1845D56A2A0195E59E69A85B', 'id': 'VGh1bWItMzM2NDU3NA==', 'thumbsDown': 0, 'thumbsUp': 0}, {'computerId': 'E3CCE6329763818263251BF5DFAB7340', 'id': 'VGh1bWItMzQ2ODExMw==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '77306C59F8DD760EB8650B663653961B', 'id': 'VGh1bWItMzQ3MTI0Nw==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '77306C59F8DD760EB8650B663653961B', 'id': 'VGh1bWItMzQ3MTY1MQ==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'B97A3170F830BFDA5CE9193868B46E06', 'id': 'VGh1bWItMzUzNjQ1Mw==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1CE1ADBBE60C91C47CB74508230577A2', 'id': 'VGh1bWItNDIxNTEzMA==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '575AF543281068DEAF3161B10AAE07F5', 'id': 'VGh1bWItNDg0NDgxNg==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1hq3p70t87sze1hi0vcnqeyyf1', 'id': 'VGh1bWItNDE2NTI0NDU=', 'thumbsDown': 0, 'thumbsUp': 1}]",3.0,14.0,0.0,Jack Rakove,History,Stanford University,28392,15
Rating,2016-06-16 16:16:52 +0000 UTC,non mandatory,1.0,HISTORY150A,By far one of the worst professors I have had at Stanford. If you have any other options - and I do mean any - run!,False,2016-06-16 16:03:34 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTI2NzMyMzM5,False,False,26732339.0,,,0.0,"[{'computerId': 'BC2A735CB1FA6C61F439C3E4D2D9E580', 'id': 'VGh1bWItMjgzOTU1Nw==', 'thumbsDown': 0, 'thumbsUp': 8}, {'computerId': 'CA1C43EF5F18D4C7C3735A13B01F5176', 'id': 'VGh1bWItMzAwMjcyNw==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'DA6429BEEE9F854C8BC99BEDE44A6AF8', 'id': 'VGh1bWItMzExMTYwMg==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '07491DFC1845D56A2A0195E59E69A85B', 'id': 'VGh1bWItMzM2NDU3Mg==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'E3CCE6329763818263251BF5DFAB7340', 'id': 'VGh1bWItMzQ2ODExNA==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '77306C59F8DD760EB8650B663653961B', 'id': 'VGh1bWItMzQ3MTI0NQ==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '77306C59F8DD760EB8650B663653961B', 'id': 'VGh1bWItMzQ3MTY1Mw==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'B97A3170F830BFDA5CE9193868B46E06', 'id': 'VGh1bWItMzUzNjQ1NA==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1CE1ADBBE60C91C47CB74508230577A2', 'id': 'VGh1bWItNDIxNTEzMQ==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': 'A8EDAF4053787EB7E4408447354A6659', 'id': 'VGh1bWItNTc2MTk3Nw==', 'thumbsDown': 0, 'thumbsUp': 1}]",2.0,15.0,0.0,Jack Rakove,History,Stanford University,28392,15
Rating,2016-06-04 13:09:23 +0000 UTC,mandatory,1.0,HIST57,"Every other word that comes out of this mans mouth is an insult to a racial minority. The only thing worse than Rakoves in-class behavior, is the universitys unwillingness to do anything about it.",False,2016-05-30 00:19:37 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTI2NjY5NjIw,True,False,26669620.0,,,5.0,"[{'computerId': 'BC2A735CB1FA6C61F439C3E4D2D9E580', 'id': 'VGh1bWItMjgzOTU1OA==', 'thumbsDown': 0, 'thumbsUp': 8}, {'computerId': 'CA1C43EF5F18D4C7C3735A13B01F5176', 'id': 'VGh1bWItMzAwMjcyOQ==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'DA6429BEEE9F854C8BC99BEDE44A6AF8', 'id': 'VGh1bWItMzExMTYwMw==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '07491DFC1845D56A2A0195E59E69A85B', 'id': 'VGh1bWItMzM2NDU3Mw==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'E3CCE6329763818263251BF5DFAB7340', 'id': 'VGh1bWItMzQ2ODExNg==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '77306C59F8DD760EB8650B663653961B', 'id': 'VGh1bWItMzQ3MTI0Ng==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '77306C59F8DD760EB8650B663653961B', 'id': 'VGh1bWItMzQ3MTY1NA==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'B97A3170F830BFDA5CE9193868B46E06', 'id': 'VGh1bWItMzUzNjQ1NQ==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1CE1ADBBE60C91C47CB74508230577A2', 'id': 'VGh1bWItNDIxNTEzMg==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '575AF543281068DEAF3161B10AAE07F5', 'id': 'VGh1bWItNDg0NDgxNw==', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': 'AECEC36ECB30B5C17B6B21346E511470', 'id': 'VGh1bWItNDQzNDczMjc=', 'thumbsDown': 1, 'thumbsUp': 0}, {'computerId': '1JZrHD7EJK-20230622', 'id': 'VGh1bWItNTE0ODEyNjE=', 'thumbsDown': 0, 'thumbsUp': 1}]",4.0,15.0,0.0,Jack Rakove,History,Stanford University,28392,15
Rating,2011-08-17 13:19:38 +0000 UTC,,5.0,HISTUNK,"One of the two best professors I had at Stanford. Rakove is a great lecturer, and a very good writer. Take his classes.",False,2011-08-17 13:08:21 +0000 UTC,3.0,UNFLAGGED,,4.0,UmF0aW5nLTE4OTI1NjY4,False,False,18925668.0,,,3.0,"[{'computerId': 'B97A3170F830BFDA5CE9193868B46E06', 'id': 'VGh1bWItMzUzNjQ1Ng==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '1CE1ADBBE60C91C47CB74508230577A2', 'id': 'VGh1bWItNDIxNTEzMw==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '575AF543281068DEAF3161B10AAE07F5', 'id': 'VGh1bWItNDg0NDgxOA==', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,3.0,,Jack Rakove,History,Stanford University,28392,15
Rating,2010-10-10 15:46:08 +0000 UTC,,4.0,POLD,"&quot;you know, you know, you know, euh... well... you know, you know, you know, well, euh... &quot;",False,2010-08-12 09:18:10 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTE3NTA0Njg0,False,False,17504684.0,,,3.0,"[{'computerId': 'B97A3170F830BFDA5CE9193868B46E06', 'id': 'VGh1bWItMzUzNjQ1OA==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '1CE1ADBBE60C91C47CB74508230577A2', 'id': 'VGh1bWItNDIxNTEzNA==', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,2.0,,Jack Rakove,History,Stanford University,28392,15
