__typename_Rating,adminReviewedAt_Rating,attendanceMandatory_Rating,clarityRating_Rating,class_Rating,comment_Rating,createdByUser_Rating,date_Rating,difficultyRating_Rating,flagStatus_Rating,grade_Rating,helpfulRating_Rating,id_Rating,isForCredit_Rating,isForOnlineClass_Rating,legacyId_Rating,ratingTags_Rating,teacherNote_Rating,textbookUse_Rating,thumbs_Rating,thumbsDownTotal_Rating,thumbsUpTotal_Rating,wouldTakeAgain_Rating,ProfessorName,Department,SchoolName,LegacyId,NumRatings
Rating,2021-12-16 11:19:24 +0000 UTC,non mandatory,3.0,PEP112,Whittaker isn't really a great professor but he tries to make the subject interesting and is very nice and willing to help. The class was easy you don't have to show up to pass. Just keep up with the homework every week and you'll be fine.,False,2021-12-16 03:19:33 +0000 UTC,1.0,UNFLAGGED,,3.0,UmF0aW5nLTM1NTUwNjI4,True,False,35550628.0,,,0.0,[],0.0,0.0,0.0,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2015-04-28 18:05:16 +0000 UTC,mandatory,1.0,PE111,"Was often completely incorrect in his lectures about basic physics, and would proceed to get whiny when students would not pay attention. If you want the respect of your students, you should actually have an understanding of the material you are teaching. ",False,2015-04-27 22:02:32 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTI0NjgyNTMy,True,False,24682532.0,,,3.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2014-01-10 01:40:58 +0000 UTC,Y,3.0,PEP297,"In smaller classes like this one, Whittaker isn't all that bad. His instructions are unclear sometimes, but he's certainly knowledgeable. Since this class is exclusively for physics majors, I feel that maybe he teaches more fluidly among his own kind.",False,2013-12-29 23:22:58 +0000 UTC,2.0,UNFLAGGED,Not_Sure_Yet,4.0,UmF0aW5nLTIyNjcyMzU3,False,False,22672357.0,,,5.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2013-04-30 20:54:57 +0000 UTC,,2.0,PEP111,"When I wasn't sure if I could pass the class and asked what he thought I should do, he literally told me that he can't predict the future, and to figure it out myself. I've never been more furious for something school related in my life. Completely unhelpful; he didn't even try",False,2013-04-29 13:13:36 +0000 UTC,4.0,UNFLAGGED,,1.0,UmF0aW5nLTIxNjI3NTY2,False,False,21627566.0,,,3.0,"[{'computerId': 'FC41F8F32A1502554E4B9EC5C2FDFCA6', 'id': 'VGh1bWItMjI2NTkwMA==', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2012-12-30 10:20:44 +0000 UTC,,5.0,PEP111,"Whittaker's a great guy! He's improved a lot over the years, apparently, because I think he's a good teacher.",False,2012-12-14 09:45:01 +0000 UTC,3.0,UNFLAGGED,,5.0,UmF0aW5nLTIxMDY4NTcy,False,False,21068572.0,,,5.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2012-01-30 11:29:50 +0000 UTC,,2.0,PEP111,"I learned know little physics and passed this class. It was very easy. Just show up for clickers, do ok on quizzes and get 100 percent of mastering physics and the class is a breeze.",False,2012-01-30 10:33:43 +0000 UTC,1.0,UNFLAGGED,,3.0,UmF0aW5nLTE5NzgzNjQ1,False,False,19783645.0,,,1.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2011-06-06 05:29:12 +0000 UTC,,1.0,PEP111,"He does nothing.  The only day you need to go in is a clicker day.  Then, he assigns master physics.  If you do all you master physics then you pass and you don't need to take the final.  It's a joke class and a joke teacher.",False,2011-06-06 04:34:23 +0000 UTC,1.0,UNFLAGGED,,1.0,UmF0aW5nLTE4NzAyNDk0,False,False,18702494.0,,,1.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2010-10-30 17:17:53 +0000 UTC,,4.0,PEP111,Ok so he's a little lame with all of his lectures and sometimes they can get kind of boring but give the guy a break. He just really enjoys Physics. He is nice and very clear if you pay attention. Plus the class is very easy and most people get exempted from the final.,False,2010-10-12 11:20:53 +0000 UTC,1.0,UNFLAGGED,,4.0,UmF0aW5nLTE3NjQ5MTg2,False,False,17649186.0,,,3.0,"[{'computerId': 'FC41F8F32A1502554E4B9EC5C2FDFCA6', 'id': 'VGh1bWItMjI2NTkwMQ==', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2010-07-12 14:14:09 +0000 UTC,,2.0,PEP111,"PEP 111. Mechanics. Typical Stevens professor with a superiority complex. Class is a bit of a joke though. Only need to show up on &quot;Clicker&quot; days and only need to show up to about half of them to get full credit. Same goes for recitations. Also, he has a habit of changing the grading system or not giving you a rubric until the last week of class.",False,2010-07-12 08:18:00 +0000 UTC,1.0,UNFLAGGED,,1.0,UmF0aW5nLTE3NDEwNTQx,False,False,17410541.0,,,2.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2008-06-15 00:07:32 +0000 UTC,,5.0,PEP111,"Whittaker is the man. He is not the best teacher I have had, but he makes up for it in his personality and willingness to help. His demonstrations, while seemingly pointless at the time, have actually helped me get through the course. I so have an old man crush on him.",False,2008-04-28 17:32:32 +0000 UTC,1.0,UNFLAGGED,,5.0,UmF0aW5nLTE0MzYxOTkw,False,False,14361990.0,,,5.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2008-06-15 00:07:32 +0000 UTC,,2.0,PEP112,"Honestly, terrible. Not informative, not helpful, very dry. I asked him a question on some homework i had worked ahead on, his reply was &quot;why did you work ahead&#63; are you cheating&#63;&quot;",False,2007-11-15 16:58:50 +0000 UTC,3.0,UNFLAGGED,,1.0,UmF0aW5nLTEzNjYxNTA5,False,False,13661509.0,,,1.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2008-06-14 03:27:20 +0000 UTC,,2.0,PEP111,"Terrible lecturer, just plays with his physics toys.",False,2007-06-06 09:53:47 +0000 UTC,1.0,UNFLAGGED,,4.0,UmF0aW5nLTEzMjQ0Nzc2,False,False,13244776.0,,,2.0,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,,,5.0,PEP111,"Homework and quizzes in this class are super easy.  All of the subject material can be learned without his help,  but his lectures are always informative.  He's also a really nice guy, and funny...sometimes.",False,2005-11-19 09:39:02 +0000 UTC,1.0,UNFLAGGED,,5.0,UmF0aW5nLTEwOTUyNDU2,False,False,10952456.0,,,,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,,,5.0,PHYSICS,No Comments,False,2005-09-03 10:32:03 +0000 UTC,5.0,UNFLAGGED,,4.0,UmF0aW5nLTEwMzY0NTM2,False,False,10364536.0,,,,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,,Y,5.0,PEP111,"very helpful, and nice.  always willing to help you out.",False,2005-08-11 12:27:33 +0000 UTC,3.0,UNFLAGGED,Not_Sure_Yet,5.0,UmF0aW5nLTEwMTEzMjc0,False,False,10113274.0,,,,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,,,4.0,PEP111,"Maybe a little bit dry at points, but a very fair and thorough guy. The class is pretty easy as far as homework and quizzes go. His lectures seem a bit redundant sometimes.",False,2004-12-18 21:59:49 +0000 UTC,1.0,UNFLAGGED,,3.0,UmF0aW5nLTMwNjk2MTg=,False,False,3069618.0,,,,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,,,1.0,PEP100,horrible worst teacher ever,False,2004-05-12 00:19:24 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTIxMjg0Mjc=,False,False,2128427.0,,,,[],0.0,0.0,,Ed Whitaker,Science,Stevens Institute of Technology,12568,17
Rating,2019-01-31 06:24:00 +0000 UTC,mandatory,5.0,CPE358,"Great prof. Sort of funny and self-depreciating, but knows the material really well!",False,2019-01-31 06:06:21 +0000 UTC,3.0,UNFLAGGED,A-,5.0,UmF0aW5nLTMxMzIzMzEz,True,False,31323313.0,Gives good feedback,,5.0,[],0.0,0.0,1.0,Emil Neu,Computer Science,Stevens Institute of Technology,41660,8
Rating,,,2.0,CPE,This guy is freakin' old,False,2006-05-22 15:06:05 +0000 UTC,2.0,UNFLAGGED,,3.0,UmF0aW5nLTExOTI2MzEw,False,False,11926310.0,,,,"[{'computerId': 'B54EE30D07981591A20FCC10C2ACBAD4', 'id': 'VGh1bWItMzQ4NDc=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Emil Neu,Computer Science,Stevens Institute of Technology,41660,8
