__typename_Rating,adminReviewedAt_Rating,attendanceMandatory_Rating,clarityRating_Rating,class_Rating,comment_Rating,createdByUser_Rating,date_Rating,difficultyRating_Rating,flagStatus_Rating,grade_Rating,helpfulRating_Rating,id_Rating,isForCredit_Rating,isForOnlineClass_Rating,legacyId_Rating,ratingTags_Rating,teacherNote_Rating,textbookUse_Rating,thumbs_Rating,thumbsDownTotal_Rating,thumbsUpTotal_Rating,wouldTakeAgain_Rating,ProfessorName,Department,SchoolName,LegacyId,NumRatings
Rating,2020-05-20 17:32:12 +0000 UTC,mandatory,3.0,ECON334,Read the textbook thoroughly and you will do well on his exams. Also don't wait last minute to start your projects do small amounts over the coarse of the semester.,False,2020-05-19 22:18:24 +0000 UTC,4.0,UNFLAGGED,B,3.0,UmF0aW5nLTMzMzM1MTQ3,True,False,33335147.0,Respected--Get ready to read--Participation matters,,5.0,[],0.0,0.0,1.0,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2016-09-18 12:54:21 +0000 UTC,mandatory,5.0,ECON86100,"The course on International Trade is a high level course at the Graduate Center. Dr. S. is a kind, genial gentleman, who has worked in International Trade for many years and is an icon in the field. The works involves heavy analysis and presentations of research papers which grants the freedom to learn on your own, and class powerpoints on theory.",False,2016-09-18 12:43:06 +0000 UTC,3.0,UNFLAGGED,A,5.0,UmF0aW5nLTI2OTc5NDI0,True,False,26979424.0,Respected--Participation matters--Caring,,0.0,"[{'computerId': 'a53un942fl3t12z1mxc9c7dpw', 'id': 'VGh1bWItNDMxMzE5ODM=', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,1.0,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2015-02-17 10:28:20 +0000 UTC,,2.0,FINMARKETS,"Totally disrespectful towards students. It was not diffucult to get the grade,however the course was quite intense, carried out in a short period of timeActually, the course was useless as the professor did not provide us with any knowledge-not only the presentation was not his, but also he just read the slides which we could do on our own at home",False,2015-02-17 10:26:02 +0000 UTC,3.0,UNFLAGGED,,2.0,UmF0aW5nLTI0Mzg5ODMx,True,False,24389831.0,,,4.0,"[{'computerId': '6618CD7CDC2E224299578C56DB029F62', 'id': 'VGh1bWItMTI2MTA0NA==', 'thumbsDown': 0, 'thumbsUp': 4}, {'computerId': '32FFB7020397992BF90E34BD4120C05C', 'id': 'VGh1bWItNDYwNzk4MQ==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '1kn0bld04vpj3zixqqt0jr46g', 'id': 'VGh1bWItMjkxMTY4NDE=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': 'b0d13255-5dcf-53df-b0ee-8721a054e127', 'id': 'VGh1bWItNDgyMjY5MzY=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,7.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2011-05-12 13:43:24 +0000 UTC,,1.0,ECON231,I so much regret taking his course. All I have learned about Public Finance I learned from the textbook. Making college students read articles aloud in class is nonsense.,False,2011-05-12 13:33:14 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTE4NTg3MDY0,False,False,18587064.0,,,4.0,"[{'computerId': '6618CD7CDC2E224299578C56DB029F62', 'id': 'VGh1bWItMTI2MTA0NQ==', 'thumbsDown': 0, 'thumbsUp': 4}, {'computerId': '32FFB7020397992BF90E34BD4120C05C', 'id': 'VGh1bWItNDYwNzk4Mw==', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '1tmfls00k5cxhp8ortznvq1w0', 'id': 'VGh1bWItNDE5Njg0MjE=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '', 'id': 'VGh1bWItNTAyNjIzNjY=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,7.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2009-10-27 23:32:57 +0000 UTC,,1.0,ECON234,I took one class from this loser this last semester as a junior and it stunk.  I got an A grade but the class was sub-standard in every way.  Very befuddled uninsightful instructor.,False,2009-05-27 17:23:13 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTE1OTAzNjMz,False,False,15903633.0,,,1.0,"[{'computerId': '6618CD7CDC2E224299578C56DB029F62', 'id': 'VGh1bWItMTc4MDA5OQ==', 'thumbsDown': 0, 'thumbsUp': 3}, {'computerId': '1tmfls00k5cxhp8ortznvq1w0', 'id': 'VGh1bWItNDE5Njg0Mjc=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '', 'id': 'VGh1bWItNTAyNjIzNjc=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,5.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2009-10-20 23:53:24 +0000 UTC,,1.0,ECON234,"This class was a total waste of time because the professor was so bad.  He hardly understands what he is even teaching.  He does not have the skill to teach at the college level, let alone a school such as Penn.  He would be much better suited to teach junior high school, maybe high school.  Do not take his classes, they are horrible.",False,2009-05-26 17:24:32 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTE1ODk4Njkz,False,False,15898693.0,,,1.0,"[{'computerId': '6E6FC2B33B48F2C591C24ACDCD278D7C', 'id': 'VGh1bWItMjI1ODcxMg==', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2009-05-24 06:28:18 +0000 UTC,,1.0,ECON236,Absolutly incompetent professor and a total disgrace to Penn.  Class was absolutely atrocious. exams tested on material not even alluded to in class.  Terribly boring lecturer.  Many students did not even bother attending lectures because they were ultimately a waste of time.,False,2009-05-22 16:37:23 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTE1ODg2MDM4,False,False,15886038.0,,,1.0,"[{'computerId': '6618CD7CDC2E224299578C56DB029F62', 'id': 'VGh1bWItMjkyOTY3OQ==', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2009-05-24 06:28:18 +0000 UTC,,1.0,ECON236,"This class was, at its very best, slightly below mediocre.  I would not recommend this class to majors or non-majors.",False,2009-05-22 14:57:30 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTE1ODg1NDky,False,False,15885492.0,,,5.0,[],0.0,0.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2009-02-21 02:21:17 +0000 UTC,,1.0,ECON234,"I have somehow ended up taking three classes from him, and he is by far the worst teacher I've ever had. He makes generally interesting subjects seem duller and can't teach his subjects at all- you are better off studying independently.",False,2009-02-10 11:55:51 +0000 UTC,1.0,UNFLAGGED,,1.0,UmF0aW5nLTE1NDUzNzQ1,False,False,15453745.0,,,1.0,"[{'computerId': '6618CD7CDC2E224299578C56DB029F62', 'id': 'VGh1bWItMjkyOTY4MQ==', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2009-02-20 21:48:13 +0000 UTC,,5.0,ECON261,great teacher. i was personally very motivated by what i learned in his class.,False,2009-01-20 21:56:01 +0000 UTC,2.0,UNFLAGGED,,5.0,UmF0aW5nLTE1Mzk2NDE5,False,False,15396419.0,,,4.0,"[{'computerId': '1tmfls00k5cxhp8ortznvq1w0', 'id': 'VGh1bWItNDE5Njg0NDk=', 'thumbsDown': 1, 'thumbsUp': 0}]",1.0,0.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2008-12-06 10:41:36 +0000 UTC,,1.0,ECON261,"He is the worst professor ever.  He insults his students, presses his political views on them, and tests his class on material not covered (or even in the textbook for that matter).  He was teaching a course in development...but instead we learned about outdated international  trade models and about how much he hates Barack Obama.",False,2008-12-04 12:03:13 +0000 UTC,5.0,UNFLAGGED,,1.0,UmF0aW5nLTE1MTAzMTAy,False,False,15103102.0,,,4.0,"[{'computerId': '6618CD7CDC2E224299578C56DB029F62', 'id': 'VGh1bWItMTI2MTA0Ng==', 'thumbsDown': 0, 'thumbsUp': 3}, {'computerId': '1tmfls00k5cxhp8ortznvq1w0', 'id': 'VGh1bWItNDE5Njg0NTk=', 'thumbsDown': 0, 'thumbsUp': 1}, {'computerId': '', 'id': 'VGh1bWItNTAyNjIzNjg=', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,5.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
Rating,2008-07-04 03:34:16 +0000 UTC,,1.0,ECON001,this guy was horrible - had him 10+ years ago...,False,2007-09-15 23:51:50 +0000 UTC,4.0,UNFLAGGED,,1.0,UmF0aW5nLTEzNDc2Nzkx,False,False,13476791.0,,,3.0,"[{'computerId': '6618CD7CDC2E224299578C56DB029F62', 'id': 'VGh1bWItMjkyOTY4Mg==', 'thumbsDown': 0, 'thumbsUp': 1}]",0.0,1.0,,Yochanan Shachmurove,Economics,University of Pennsylvania,6464,21
